uri,text,reply_count,keyword
at://did:plc:xyddpg6usmgh2t2jgf4e37yk/app.bsky.feed.post/3mhvfinvcgc2q,"Saying The Quiet Part Out Loud Dept.-Kinda sounds like he's admitting he interfered in the election with VERY specific statistics.

I quit Twitter because he bought it, way before his confession he stole the election for the Orange Atrocity. 🍊💩  

Now I'm SURE I made the right decision! 👍",1996,quit twitter
at://did:plc:ul5n745uxwymqppvpiwtpoa5/app.bsky.feed.post/3mkej7zyfnk2h,Kind of a perfect metaphor for the media and the role they've played over the last ten years,505,twitter is dead
at://did:plc:5mqpgxjffcckasqv7h6g7itu/app.bsky.feed.post/3m3crrs6ark2y,The rank obliviousness to the inherent paradox in his abject fucking stupidity is so next level as to be almost a thing of wonder.,140,twitter refugee
at://did:plc:tsf3qulwq25yo27j6eznkfix/app.bsky.feed.post/3mc2crp2ahc27,"alright I’m quitting twitter, I’m really gonna quit this time. checking in to the methadone app.",135,quit twitter
at://did:plc:4q4ziw4qk2hxxaxfu7jweuey/app.bsky.feed.post/3mmak4a4rns2k,Do you think that Elon Musk interfered in the 2024 presidential election?,131,elon
at://did:plc:ji7lroxun3yvv2pxhcf7jqsn/app.bsky.feed.post/3mmagsxpukq22,"Elon's baby mama, Ashley St. Clair, says Elon knew the election results in 2024 hours before anyone else did, and he claimed this was because his satellites were scooping up data.

www.rawstory.com/elon-musk-26...",116,elon
at://did:plc:37ukqjgnt2puqbdvxo6jw4le/app.bsky.feed.post/3mmafhs4fws2z,"one will likely not be mobbed or mugged here but one will likely not feel a quickening of the heart, a jab of adrenaline.
Twitter may be a ""cesspool""-- at least in some quarters--but I think of it as lively like the old Madison Square Garden: raucous, unpredictable, obnoxious, good fun,  surprises.",106,twitter
at://did:plc:t4i3a4fawuzge3dsw2i2h2fw/app.bsky.feed.post/3mbhvqutprk2a,"The two main reasons I quit Twitter/X were:
1. I refused to produce free content to make money for a white supremacist who was spreading lies.
2. The platform became a Nazi clubhouse.
What were your reasons?",93,quit twitter
at://did:plc:t46sqvutibvsmjgwn6r6izve/app.bsky.feed.post/3ltfs7bk3js2i,"Twitter vs Threads vs BlueSky 

Have definitely noticed way more engagement on threads in the last six months. 

Via Tech Crunch",83,bluesky vs twitter
at://did:plc:dy4mk6ej5d7hlqgfeqjft3hd/app.bsky.feed.post/3mcnhpj3qj22j,"I’m a Twitter refugee.
I cover war, power, and disinformation — focused on Ukraine, Europe, the U.S, and democratic resilience.

I stand on the side of democracy
Blue team, aligned with Democratic values: rule of law, international law, accountability, and cross-border solidarity
go.bsky.app/UT4NbaH",83,twitter refugee
